ASCII Kodu

ASCII (İngilizce: American Standard Code for Information Interchange, Türkçe: Bilgi Değişimi İçin Amerikan Standart Kodlama Sistemi) 
Latin alfabesi üzerine kurulu 7 bitlik bir karakter kümesidir. İlk kez 1963 yılında ANSI tarafından standart olarak sunulmuştur.
8 bit değeri 0 ile 255 olduğu için 255 karakter almaktadır. 

ASCII yazdırma karakterleri tablosu
İkilik sistem	Sekizlik sistem	Onluk sistem	On altılık sistem	Karakter
42	0x2A	052	00101010	*
43	0x2B	053	00101011	+
44	0x2C	054	00101100	,
45	0x2D	055	00101101	-
46	0x2E	056	00101110	.
47	0x2F	057	00101111	/
48	0x30	060	00110000	0
49	0x31	061	00110001	1
50	0x32	062	00110010	2
51	0x33	063	00110011	3
52	0x34	064	00110100	4
53	0x35	065	00110101	5
54	0x36	066	00110110	6
55	0x37	067	00110111	7
56	0x38	070	00111000	8
57	0x39	071	00111001	9
58	0x3A	072	00111010	:
59	0x3B	073	00111011	;
60	0x3C	074	00111100	<
61	0x3D	075	00111101	=
62	0x3E	076	00111110	>
63	0x3F	077	00111111	?
64	0x40	0100	01000000	@
65	0x41	0101	01000001	A
66	0x42	0102	01000010	B
67	0x43	0103	01000011	C
68	0x44	0104	01000100	D
69	0x45	0105	01000101	E
70	0x46	0106	01000110	F
71	0x47	0107	01000111	G
72	0x48	0110	01001000	H
73	0x49	0111	01001001	I
74	0x4A	0112	01001010	J
75	0x4B	0113	01001011	K
76	0x4C	0114	01001100	L
77	0x4D	0115	01001101	M
78	0x4E	0116	01001110	N
79	0x4F	0117	01001111	O
80	0x50	0120	01010000	P
81	0x51	0121	01010001	Q
82	0x52	0122	01010010	R
83	0x53	0123	01010011	S
84	0x54	0124	01010100	T
85	0x55	0125	01010101	U
86	0x56	0126	01010110	V
87	0x57	0127	01010111	W
88	0x58	0130	01011000	X
89	0x59	0131	01011001	Y
90	0x5A	0132	01011010	Z
91	0x5B	0133	01011011	[
92	0x5C	0134	01011100	\
93	0x5D	0135	01011101	]
94	0x5E	0136	01011110	^
95	0x5F	0137	01011111	_
96	0x60	0140	01100000	`
97	0x61	0141	01100001	a
98	0x62	0142	01100010	b
99	0x63	0143	01100011	c
100	0x64	0144	01100100	d
101	0x65	0145	01100101	e
102	0x66	0146	01100110	f
103	0x67	0147	01100111	g
104	0x68	0150	01101000	h
105	0x69	0151	01101001	i
106	0x6A	0152	01101010	j
107	0x6B	0153	01101011	k
108	0x6C	0154	01101100	l
109	0x6D	0155	01101101	m
110	0x6E	0156	01101110	n
111	0x6F	0157	01101111	o
112	0x70	0160	01110000	p
113	0x71	0161	01110001	q
114	0x72	0162	01110010	r
115	0x73	0163	01110011	s
116	0x74	0164	01110100	t
117	0x75	0165	01110101	u
118	0x76	0166	01110110	v
119	0x77	0167	01110111	w
120	0x78	0170	01111000	x
121	0x79	0171	01111001	y
122	0x7A	0172	01111010	z
123	0x7B	0173	01111011	{
124	0x7C	0174	01111100	|
125	0x7D	0175	01111101	}
126	0x7E	0176	01111110	~
127	0x7F	0177	01111111	Del
128	0x80	0200	10000000	M-^@
129	0x81	0201	10000001	M-^A
130	0x82	0202	10000010	M-^B
131	0x83	0203	10000011	M-^C
132	0x84	0204	10000100	M-^D
133	0x85	0205	10000101	M-^E
134	0x86	0206	10000110	M-^F
135	0x87	0207	10000111	M-^G
136	0x88	0210	10001000	M-^H
137	0x89	0211	10001001	M-^I
138	0x8A	0212	10001010	M-^J
139	0x8B	0213	10001011	M-^K
140	0x8C	0214	10001100	M-^L
141	0x8D	0215	10001101	M-^M
142	0x8E	0216	10001110	M-^N
143	0x8F	0217	10001111	M-^O
144	0x90	0220	10010000	M-^P
145	0x91	0221	10010001	M-^Q
146	0x92	0222	10010010	M-^R
147	0x93	0223	10010011	M-^S
148	0x94	0224	10010100	M-^T
149	0x95	0225	10010101	M-^U
150	0x96	0226	10010110	M-^V
151	0x97	0227	10010111	M-^W
152	0x98	0230	10011000	M-^X
153	0x99	0231	10011001	M-^Y
154	0x9A	0232	10011010	M-^Z
155	0x9B	0233	10011011	M-^[
156	0x9C	0234	10011100	M-^\
157	0x9D	0235	10011101	M-^]
158	0x9E	0236	10011110	M-^^
159	0x9F	0237	10011111	M-^_
160	0xA0	0240	10100000	M-
161	0xA1	0241	10100001	M-!
162	0xA2	0242	10100010	M-"
163	0xA3	0243	10100011	M-#
164	0xA4	0244	10100100	M-$
165	0xA5	0245	10100101	M-%
166	0xA6	0246	10100110	M-&
167	0xA7	0247	10100111	M-'
168	0xA8	0250	10101000	M-(
169	0xA9	0251	10101001	M-)
170	0xAA	0252	10101010	M-*
171	0xAB	0253	10101011	M-+
172	0xAC	0254	10101100	M-,
173	0xAD	0255	10101101	M--
174	0xAE	0256	10101110	M-.
175	0xAF	0257	10101111	M-/
176	0xB0	0260	10110000	M-0
177	0xB1	0261	10110001	M-1
178	0xB2	0262	10110010	M-2
179	0xB3	0263	10110011	M-3
180	0xB4	0264	10110100	M-4
181	0xB5	0265	10110101	M-5
182	0xB6	0266	10110110	M-6
183	0xB7	0267	10110111	M-7
184	0xB8	0270	10111000	M-8
185	0xB9	0271	10111001	M-9
186	0xBA	0272	10111010	M-:
187	0xBB	0273	10111011	M-;
188	0xBC	0274	10111100	M-<
189	0xBD	0275	10111101	M-=
190	0xBE	0276	10111110	M->
191	0xBF	0277	10111111	M-?
192	0xC0	0300	11000000	M-@
193	0xC1	0301	11000001	M-A
194	0xC2	0302	11000010	M-B
195	0xC3	0303	11000011	M-C
196	0xC4	0304	11000100	M-D
197	0xC5	0305	11000101	M-E
198	0xC6	0306	11000110	M-F
199	0xC7	0307	11000111	M-G
200	0xC8	0310	11001000	M-H
201	0xC9	0311	11001001	M-I
202	0xCA	0312	11001010	M-J
203	0xCB	0313	11001011	M-K
204	0xCC	0314	11001100	M-L
205	0xCD	0315	11001101	M-M
206	0xCE	0316	11001110	M-N
207	0xCF	0317	11001111	M-O
208	0xD0	0320	11010000	M-P
209	0xD1	0321	11010001	M-Q
210	0xD2	0322	11010010	M-R
211	0xD3	0323	11010011	M-S
212	0xD4	0324	11010100	M-T
213	0xD5	0325	11010101	M-U
214	0xD6	0326	11010110	M-V
215	0xD7	0327	11010111	M-W
216	0xD8	0330	11011000	M-X
217	0xD9	0331	11011001	M-Y
218	0xDA	0332	11011010	M-Z
219	0xDB	0333	11011011	M-[
220	0xDC	0334	11011100	M-\
221	0xDD	0335	11011101	M-]
222	0xDE	0336	11011110	M-^
223	0xDF	0337	11011111	M-_
224	0xE0	0340	11100000	M-`
225	0xE1	0341	11100001	M-a
226	0xE2	0342	11100010	M-b
227	0xE3	0343	11100011	M-c
228	0xE4	0344	11100100	M-d
229	0xE5	0345	11100101	M-e
230	0xE6	0346	11100110	M-f
231	0xE7	0347	11100111	M-g
232	0xE8	0350	11101000	M-h
233	0xE9	0351	11101001	M-i
234	0xEA	0352	11101010	M-j
235	0xEB	0353	11101011	M-k
236	0xEC	0354	11101100	M-l
237	0xED	0355	11101101	M-m
238	0xEE	0356	11101110	M-n
239	0xEF	0357	11101111	M-o
240	0xF0	0360	11110000	M-p
241	0xF1	0361	11110001	M-q
242	0xF2	0362	11110010	M-r
243	0xF3	0363	11110011	M-s
244	0xF4	0364	11110100	M-t
245	0xF5	0365	11110101	M-u
246	0xF6	0366	11110110	M-v
247	0xF7	0367	11110111	M-w
248	0xF8	0370	11111000	M-x
249	0xF9	0371	11111001	M-y
250	0xFA	0372	11111010	M-z
251	0xFB	0373	11111011	M-{
252	0xFC	0374	11111100	M-|
253	0xFD	0375	11111101	M-}
254	0xFE	0376	11111110	M-~
255	0xFF	0377	11111111	M-^?
